45	46
67	50
73	52
80	51
87	54
95	53
102	60
45	44
44	46
59	47
67	46
74	47
82	45
89	49
88	74
46	44
44	37
54	41
62	41
68	41
76	44
102	79
91	77
46	45
41	31
49	33
56	32
63	35
114	82
107	89
91	83
46	43
36	27
43	28
50	30
127	93
119	94
113	93
91	93
46	46
30	23
37	24
140	97
132	97
125	96
118	95
90	92
46	46
24	14
152	106
145	102
138	103
131	102
123	100
92	90
45	46
17	35
52	52
68	54
74	55
82	53
89	56
95	54
103	60
51	64
36	54
59	52
65	54
72	53
78	55
85	50
92	57
88	73
64	66
53	60
62	54
64	50
70	51
76	51
82	51
101	77
94	77
74	68
69	60
67	54
67	49
70	50
75	49
114	87
108	81
101	78
88	68
76	61
71	55
70	51
71	46
127	90
123	88
115	85
107	76
94	70
83	60
77	52
73	47
139	100
135	96
128	88
121	83
112	78
101	68
90	58
81	50
153	105
147	104
141	97
136	93
127	88
118	72
107	65
95	55
35	59
65	58
72	59
79	60
85	59
92	62
99	61
106	65
67	65
69	64
72	60
75	64
81	64
87	63
94	62
100	69
90	72
85	69
81	67
81	65
82	65
86	64
91	67
97	69
103	81
98	78
94	75
90	72
88	71
89	67
93	69
96	75
116	87
111	85
108	82
104	77
100	76
98	76
97	73
100	75
129	92
125	90
122	89
115	83
112	82
108	82
106	78
106	80
143	101
137	96
134	97
129	92
125	86
120	86
117	83
115	85
154	104
152	104
147	105
143	99
138	92
134	92
129	87
126	94
51	61
71	60
78	64
84	64
90	65
97	64
104	65
112	72
80	70
79	70
82	66
85	69
91	67
98	67
104	70
111	77
92	74
92	76
91	72
94	72
97	74
102	75
107	76
112	82
106	83
106	80
103	77
105	81
105	80
108	79
113	85
117	88
118	84
118	87
116	85
115	87
116	88
118	87
120	93
124	92
132	95
129	94
128	91
128	94
128	93
129	94
130	97
132	101
144	103
144	101
142	97
141	101
140	98
141	98
141	104
142	105
157	105
155	105
154	105
154	104
153	103
152	105
152	113
153	114
65	61
76	64
82	65
88	62
95	67
102	68
109	66
116	71
83	69
85	70
89	69
94	70
101	72
108	71
113	73
121	81
96	78
98	74
100	79
105	76
110	77
115	77
121	82
126	84
108	79
110	84
114	79
116	83
119	84
123	83
129	88
135	90
123	87
123	87
125	89
127	90
131	91
135	91
139	97
144	98
134	93
135	96
138	96
140	97
142	97
147	99
150	106
154	103
148	105
148	99
149	102
152	105
155	105
158	107
161	109
165	112
160	105
162	107
163	110
166	106
168	110
170	114
173	114
177	117
73	61
79	60
86	63
93	62
99	61
106	64
114	66
121	72
86	69
91	66
97	72
102	68
109	70
115	71
122	71
129	75
98	79
102	75
108	75
113	73
119	73
127	74
132	76
138	83
111	80
117	79
120	82
125	82
130	81
137	82
142	84
149	88
124	86
128	86
133	91
137	87
142	87
149	88
154	93
160	92
137	95
141	91
145	95
149	92
154	93
159	91
166	96
171	100
150	98
154	100
158	99
161	101
167	99
172	98
177	106
183	105
163	106
167	108
170	105
174	108
179	108
185	110
189	109
195	114
75	60
82	58
88	63
96	62
103	60
110	62
117	61
125	65
88	65
94	61
101	62
107	63
114	64
122	62
128	62
135	69
100	74
107	71
112	72
120	68
126	69
132	64
140	65
147	68
114	81
119	77
126	74
132	76
139	69
144	72
152	68
159	72
126	83
131	82
139	80
145	79
151	77
158	76
164	70
171	75
139	93
145	89
151	89
157	82
164	83
169	78
176	76
183	81
151	101
158	100
163	93
170	94
177	91
182	85
189	83
196	88
165	105
171	105
176	102
183	98
188	94
195	89
201	88
208	91
77	35
84	52
90	52
97	54
105	53
113	56
120	58
127	60
89	67
96	60
103	52
110	53
119	53
125	50
132	52
139	57
102	70
109	67
115	60
123	52
130	51
138	50
145	50
152	51
115	79
122	75
128	67
136	59
143	55
150	53
157	52
165	49
127	86
135	87
142	73
149	70
156	63
163	57
170	52
177	48
141	90
147	88
155	84
162	77
170	71
176	59
183	52
190	48
154	99
161	96
168	89
174	86
181	76
188	72
195	58
203	49
167	108
173	106
181	100
188	92
195	85
202	74
208	66
215	61
